"","V1","V2","V3"
"1",493,902.487810156379,83.5121898436211
"2",1258,2203.79414603108,312.205853968916
"3",977,1434.59749416563,519.402505834367
"4",1101,1942.54564146377,259.454358536231
"5",862,1518.95958779821,205.040412201785
"6",1134,1739.31215087755,528.687849122455
"7",1388,2019.78817652754,756.211823472455
"8",1031,1521.88192741908,540.118072580924
"9",1137,1627.27774441297,646.722255587033
"10",1323,1791.84044905134,854.159550948655
"11",1320,1874.05550263489,765.944497365111
"12",2731,5767.53945580601,-305.539455806011
"13",4254,9402.74079427841,-894.740794278409
"14",1544,2389.19859599189,698.801404008107
"15",2964,5935.31459122053,-7.31459122052593
"16",2117,4973.97696292194,-739.976962921939
"17",1022,1353.30695736733,690.693042632667
"18",927,1340.0305880521,513.969411947896
"19",657,900.700977976426,413.299022023574
"20",851,1241.06512276798,460.934877232019
"21",1675,2715.86867567431,634.131324325686
"22",1072,1749.46734238633,394.532657613668
"23",1098,1496.17131991142,699.828680088583
"24",1522,2329.95860042455,714.041399575449
"25",812,1409.36836764819,214.631632351807
"26",1264,1780.4089142014,747.591085798602
"27",870,1859.04917302764,-119.049173027644
"28",1173,1785.83877705859,560.161222941411
"29",1504,2398.32827679028,609.671723209723
"30",1486,2384.20532173885,587.794678261145
"31",1639,2336.42430891579,941.57569108421
"32",2060,3264.82990500734,855.170094992658
"33",2030,2656.30293522118,1403.69706477882
"34",3099,4386.78207266085,1811.21792733915
"35",4517,5926.72301061828,3107.27698938172
"36",2091,4705.74427047847,-523.744270478473
"37",4314,6070.10155363141,2557.89844636859
"38",2647,3659.65051556135,1634.34948443865
"39",2590,3331.03749342841,1848.96250657159
"40",2316,3352.96372485573,1279.03627514427
"41",1760,2829.25107746809,690.748922531912
"42",1549,2439.27578124234,658.724218757656
"43",2336,4086.17638158749,585.823618412514
"44",3071,4191.20492172935,1950.79507827065
"45",2896,4470.63122666864,1321.36877333136
"46",2868,4262.47074787056,1473.52925212944
"47",3532,5136.05070576546,1927.94929423454
"48",5350,8660.60995890485,2039.39004109515
